"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_PROSTATE_GLAND_DEVELOPMENT",0.207920792079208,0.619689462146904,0.176694268938498,-0.381195486760001,-1.15970761970946,41,"Ar;Ptch1;Fkbp4;Hoxa10;Fem1b;Esr1;Ube3a;Stk11;Wnt5a;Cdkn1b;Notch1;Rarg;Frs2;Psap;Nog"
"GOBP_PROSTATE_GLAND_MORPHOGENESIS",0.85752688172043,0.933953632972109,0.0667426134241917,-0.270372517360969,-0.735409509982991,23,"Ar;Fem1b;Esr1;Wnt5a;Notch1;Rarg;Frs2;Nog;Bmp7"
"GOBP_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS",0.103503184713376,0.540739629832207,0.173747838999571,0.710343735263127,1.51294474702211,19,"Nfe2l2;Enc1;Psma1;Psmb4;Psma5;Psmb5;Psma4;Psmb3;Psma2;Psma7;Midn;Psma3;Psmb1"
"GOBP_PROTEASOME_ASSEMBLY",0.912106135986733,0.957152087092465,0.0413209506074822,0.28814146276395,0.596865662106215,15,"Psmd11;Pomp;Psmb5;Psmg4"
"GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",0.265750734675204,0.644105983219663,0.203508959461977,-0.249216776554704,-0.964215260383909,476,"Styx;Gid4;Cdc23;Kbtbd13;Ubxn2a;Mapk9;Klhl8;Rnf122;Arrb1;Rnf126;Fbxl17;Fbxl4;Herc2;Anapc5;Huwe1;Wwp1;Asb11;Cbfa2t3;Trim2;Ube2d1;Smurf2;Fbxl5;Rnf170;Pcbp2;Klhl25;Ascc3;Cop1;Ppp2cb;Prkn;Zfp574;Spop;Armc8;Klhl31;Marchf6;Cul3;Socs7;Arih2;Kcmf1;Glmn;Sumo2;Fem1b;Apc;Chfr;Ogt;Fbxw5;Aurka;Det1;Rmnd5a;Tnfaip1;Ube3a;Dcaf11;Ercc8;Socs5;Sh3rf2;Usp9x;Epm2a;Zfp598;Pcnp;Cul5;N4bp1;Kbtbd4;Trim28;Asb2;Fbxo3;Fbxo8;Zyg11b;Lrrc75a;Tbl1x;Tlk2;Ddrgk1;Agap3;Klhl21;Rad23a;Ppp2r5c;Phf20l1;Bag5;Eif3h;Cdc34;Klhdc2;Prickle1;Faf1;Ubr5;Gsk3b;Bag6;Kctd2;Fbxo45;Axin1;Pja2;Ubr1;Hspa1a;Keap1;Fbxl12;Fbxo11;Socs2;Sem1"
"GOBP_PROTEINOGENIC_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.523460410557185,0.774310850439883,0.0613026075396207,0.402031818311139,0.943888851148195,36,"Psat1;Ass1;Glul;Got2;Asns;Mri1;Mtrr;Asl;Shmt2;Got1;Plod2;Pcbd1"
"GOBP_PROTEIN_ACETYLATION",0.542424242424242,0.78343207310925,0.0978773277424561,-0.323918822525994,-0.930349673587423,31,"Esco1;Naa20;Ing4;Kat6a;Naa60;Bag6;Kat2b"
"GOBP_PROTEIN_ACTIVATION_CASCADE",0.210031347962382,0.619689462146904,0.116234148779716,0.5887760057167,1.2734747981412,21,"Thbs1;Mvp;Prcp"
"GOBP_PROTEIN_ACYLATION",0.283400809716599,0.652749728096677,0.166933848713193,-0.344575095926166,-1.0920104346817,57,"Ppm1a;Zdhhc8;Zdhhc5;Esco1;Hhatl;Naa20;Ing4;Kat6a;Naa60;Nmt2;Bag6;Zdhhc3;Kat2b;Zdhhc21"
"GOBP_PROTEIN_AUTOPHOSPHORYLATION",0.305882352941176,0.660043096800031,0.195789002148949,-0.306283530418332,-1.06242484192751,108,"Fgfr4;Camk2a;Mylk2;Ulk2;Oxsr1;Map3k10;Flt1;Aurka;Slk;Lmtk2;Eif2ak1;Vrk2;Stk24;Stk11;Pdgfa;Gsk3b;Vegfa;Map3k3;Mapkapk5;Map2k2;Tnik;Dyrk1a;Pdgfra;Epha7"
"GOBP_PROTEIN_AUTOPROCESSING",0.25,0.638456330399458,0.105920292736253,0.573416994634228,1.22130763856699,19,"Casp4;Ctsl;Casp6;Pisd;Htra2"
"GOBP_PROTEIN_AUTOUBIQUITINATION",0.219512195121951,0.626161270790614,0.191892240384838,-0.345803782081583,-1.12029852344044,66,"Asb4;Rnf122;Obi1;Prkn;Ube2d2a;Rnf11;Cul3;Ube3a;Ercc8;Sh3rf2;Ddb2;Rnf220;Nfx1;Lrsam1;Rnf146;Ube2b;Rchy1;Mta1;Trim37;Amfr;Marchf5;Stub1;Rnf41;Rnf10;Cnot4"
"GOBP_PROTEIN_BRANCHED_POLYUBIQUITINATION",0.0989304812834225,0.533093964858671,0.234392647294686,-0.539072092541606,-1.40393383806843,19,"Cdc23;Anapc5;Huwe1"
"GOBP_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE",0.900928792569659,0.95431154326671,0.0387166740042594,0.27921149327051,0.624079574908802,26,"Tcirg1;Grn;Lamp2;Plbd1;Lrp1;Ap5z1;Tmem106b"
"GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION",0.458963282937365,0.742367802747602,0.0531298054705469,0.347272158979132,1.01236475768496,245,"Prnd;Rrm2;Trp63;Trpm2;Ehd4;Evl;Isg15;Pxdn;Ect2;Nol3;Shkbp1;Ninj1;Cth;Ehd3;Kcnc2;Kctd13;H2-Eb1;Trp53;Cd74;App;Tspyl5;Alox5ap;Mif;Pnpt1;Pdcd6ip;Aqp11;Sycp1;Slc9a1;Abca3;Aldh1a2;Samhd1;Kctd17;Kctd1;Ifih1;Gsdmd;Oas1a;Nme4;Kctd10;Tmem70;Nme1;Gria3;B2m;Glra3;Fus;Mospd2;Twnk"
