"celltype","Reversal_norm","Reversal_DR","Reversal_sAct","Aged"
"Macrophages",0.267733590605539,0.101304593498301,-0.858562245418455,0.146641784401653
"FAPs",0.0901626933380555,0.278769686412729,-0.434433681146509,0.0354587281979913
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0697180228430811,-0.154598999575276,-0.576585442004948,0.0538971738433717
"FAPs",-0.0711889153061035,-0.104815375124275,-0.510736426119164,0.0365407733240676
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0153148059123588,-0.140372067942834,2.43604441069885,0.0487251845864526
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",-0.0295219490921876,0.138833218703711,-0.736866992248209,0.143512468997808
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0869721950117106,0.154374275369975,-0.618616009168813,-0.00325174844116732
"Myonuclei",0,0,0,0
"FAPs",-0.0528702104645797,-0.0365491495902023,-0.498257626822413,-0.137605983398175
"Myonuclei",0,0,0,0
"Muscle stem cell",0.0192014112135446,0.0577520657209222,-0.499700442339055,0.117335727109226
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0307905980520749,-0.0527917531486098,-0.429534310174629,-0.0280311814146433
"Macrophages",-0.141114948660775,-0.133220161881852,-0.433685073159949,0.00121861794547362
"FAPs",0.0342717459180135,0.105981067520381,-0.543793258267135,0.0706245535575389
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.029333050221503,-0.15819859534164,-0.552456413402215,-0.0628254218582823
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0893808854622219,0.222036895359322,-0.606540182851049,-0.0525467688468181
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Macrophages",0.302738338974189,0.369410177711786,-0.794503150574398,0.0684600368168733
"FAPs",0.0863170179598569,0.212072809922915,-0.600133226776139,0.0780744285920425
"Myonuclei (Myh1+)",0,0,0,0
"Endothelial cells",0.00343513318349607,-0.259098976807072,-0.526472130345854,0.0779826396960382
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",0.0734335386872517,0.114003564510885,-0.240069063142488,-0.0109133344175196
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.129487975164459,-0.116113509271961,-0.631227290829297,-0.137719886980275
"FAPs",0.114729108108538,-0.014774567196827,-0.558006564572694,0.173183204944458
"Myonuclei",0,0,0,0
