"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol"
"ENSMUSG00000029177",71.5888974302172,0.812112338563544,0.436700647705967,0.00757131013119031,0.0230747452036844,0.266071031386909,0.3566228256026,"Cenpa"
"ENSMUSG00000029185",147.879994080482,0.645176407964568,0.188756378494454,9.70672387726934e-05,0.000489743864015753,0.0251985888083198,0.418694653543025,"Fam114a1"
"ENSMUSG00000029188",227.400136133813,1.64090505136377,0.280063615595923,3.55545010382211e-10,4.39492524020621e-09,0.000315234985870556,0.990327154270849,"Slc34a2"
"ENSMUSG00000029190",2144.54524968422,-0.252638911853304,0.0881885010283751,0.00309523227392682,0.0107174572938946,0.09417129040019,-0.175410302547782,"D5Ertd579e"
"ENSMUSG00000029196",686.550872292291,-0.373294456079628,0.10709614164602,0.000249878704337098,0.00113856530367939,0.0104775901410694,-0.300372955798215,"Tada2b"
"ENSMUSG00000029198",1518.65060074442,-0.440191405923553,0.0764347286885679,3.31663825661256e-09,3.59872440184218e-08,1.89251022221519e-06,-0.38392959943407,"Grpel1"
"ENSMUSG00000029199",652.299525255006,-0.376698517069548,0.104923712267316,0.000166249952036711,0.000791039544511518,0.000999742586422658,-0.371782386935814,"Lias"
"ENSMUSG00000029206",19.2191536536463,0.844694125647524,0.49981030346211,0.0102553616878194,0.0299866052056807,0.0465706413053903,0.744019398045215,"Nsun7"
"ENSMUSG00000029208",672.294607449025,-0.234242956223797,0.0884307229496435,0.00623925791610803,0.0195206230444349,0.676217569512422,0.0529993179151744,"Guf1"
"ENSMUSG00000029212",21.1664732357819,0.808549826052129,0.551075417577739,0.017457402257495,0.0470219763677299,0.0557097165804127,0.753851652704592,"Gabrb1"
"ENSMUSG00000029217",336.329133479442,-0.776052641807425,0.150485846343108,2.28895464148701e-08,2.19821433435708e-07,1.38035322579321e-05,-0.647172715346932,"Tec"
"ENSMUSG00000029228",175.214472748185,0.864991777643413,0.259190604802937,7.58668479433126e-05,0.000391722673609695,0.0456818975633801,0.467367880722814,"Lnx1"
"ENSMUSG00000029234",590.587659840557,0.458349420570257,0.141423538153821,0.000418909025213637,0.00182033681504785,0.0513369289384163,0.298870123257189,"Tmem165"
"ENSMUSG00000029247",4306.44084593165,-0.32424448213337,0.102476408527429,0.000939901297031923,0.00375300078230635,0.0639990947808649,-0.218371147148474,"Paics"
"ENSMUSG00000029249",752.171592546868,-0.241628177517501,0.103440340725384,0.0146863946741034,0.0408071673195364,0.620738123975139,-0.0712073641666724,"Rest"
"ENSMUSG00000029250",1086.34285926432,-0.374024417092666,0.0901198341687059,1.70365000010319e-05,0.000100665165930043,0.0118326995832221,-0.252310815205707,"Polr2b"
"ENSMUSG00000029263",753.217218491849,-0.575783992708074,0.0905509168526794,3.97068813171371e-11,5.59695366772884e-10,1.86110210321435e-06,-0.44588325386417,"Pigg"
"ENSMUSG00000029270",339.345065192198,-0.48287664585727,0.214273551852362,0.00758696662295763,0.0231118362940732,0.108775826914444,-0.344374479534112,"Dipk1a"
"ENSMUSG00000029273",15828.6563273222,-0.491525561346424,0.220139833586887,0.00773232606335659,0.0234970562374483,0.571881081027183,0.138156629780212,"Sult1d1"
"ENSMUSG00000029283",32.1439089235294,1.0010123520009,0.522856638643306,0.00434095179442923,0.0143108221845521,0.255834059522492,0.39024641746339,"Cdc7"
"ENSMUSG00000029291",1656.09659993143,-1.04931787752901,0.221131838563414,1.73195863578796e-07,1.45100780569447e-06,8.4995955926471e-05,-0.840502823153719,"Rufy3"
"ENSMUSG00000029304",32160.8936200619,2.58397280243592,0.128248495173524,6.59392163948192e-93,1.87352153553794e-89,2.61034945788169e-81,2.45926459996178,"Spp1"
"ENSMUSG00000029322",256.593532745024,1.83374869737585,0.157399442676332,1.32364710751676e-32,1.20210124755255e-30,4.3124261064433e-12,1.1427403789808,"Plac8"
