"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000032050",4278.21585530055,-0.32529730873689,0.0612119579463708,6.6133078345897e-08,5.89301431550871e-07,0.00563905968194339,-0.19098210548903,"Rdx","ENSMUSG00000032050"
"ENSMUSG00000032058",571.258133040952,-0.431119361608211,0.113012188955356,5.47040664985833e-05,0.000291535149675864,0.136391945314851,-0.195403103108314,"Ppp2r1b","ENSMUSG00000032058"
"ENSMUSG00000032086",726.81590824529,0.450475262030394,0.171967032684529,0.00317242348643538,0.0109485217285638,0.154717684950355,0.265364987497765,"Bace1","ENSMUSG00000032086"
"ENSMUSG00000032087",14.5746760621671,1.38637715539624,0.7092528853449,0.00149364495685863,0.00564344691241668,0.315208959623731,0.372616387439507,"Dscaml1","ENSMUSG00000032087"
"ENSMUSG00000032096",3421.37251479917,-0.281314701520606,0.0837080200666622,0.000538550424813039,0.00227559579330923,0.210801374847335,-0.130237695103152,"Arcn1","ENSMUSG00000032096"
"ENSMUSG00000032116",1922.10697250168,-0.819753166089944,0.212919051817504,1.08288979468204e-05,6.64535486776643e-05,0.0492484884908701,-0.396589275539526,"Stt3a","ENSMUSG00000032116"
"ENSMUSG00000032121",114.64760147909,0.556102066166028,0.192355950043718,0.000873747410152413,0.0035192309114057,0.00927256300506051,0.497025382426793,"Tmem218","ENSMUSG00000032121"
"ENSMUSG00000032122",66.0354811734567,0.656798027616806,0.284399349655674,0.00348365142923434,0.0118824118120463,0.493016216346152,0.18591384972432,"Slc37a2","ENSMUSG00000032122"
"ENSMUSG00000032228",904.030247504351,-0.368686341797939,0.0861366218058981,9.79483780066989e-06,6.05374546356505e-05,0.000332917006755173,-0.333492660302295,"Tcf12","ENSMUSG00000032228"
"ENSMUSG00000032258",57.598089463076,1.21651436034639,0.545140710780501,0.00131332026147144,0.00503675794068754,0.689875829942031,0.143309055768656,"Lca5","ENSMUSG00000032258"
"ENSMUSG00000032262",18.1259252569156,0.857757589605347,0.504716889801556,0.00973074321658621,0.0286760633923075,0.222206383733735,0.422965170945753,"Elovl4","ENSMUSG00000032262"
"ENSMUSG00000032293",2086.45247163215,-0.400870741266867,0.0968768831669855,1.61214529439118e-05,9.58277279143637e-05,0.00152320669375116,-0.331645422155064,"Ireb2","ENSMUSG00000032293"
"ENSMUSG00000032299",469.223535920584,0.424162948873357,0.158359012244323,0.00298746771031223,0.010398147794068,0.250818904183408,0.2070364281085,"Commd4","ENSMUSG00000032299"
"ENSMUSG00000032307",806.346702450471,-0.551527111114979,0.0779527422234727,3.31039319824308e-13,5.842094970706e-12,1.00107836984351e-08,-0.463698012198532,"Ube2q2","ENSMUSG00000032307"
"ENSMUSG00000032322",28.1285714357597,1.49408673959193,0.447583703125964,3.79827767660293e-05,0.000209089246360243,0.322767328506777,0.324074513411717,"Pstpip1","ENSMUSG00000032322"
"ENSMUSG00000032330",3780.29092939192,-0.299045639349642,0.0848019236302451,0.000277724665784862,0.00125525994009002,0.0324520137498921,-0.208204777766797,"Cox7a2","ENSMUSG00000032330"
