"GeneID","log2FoldChange_aging","padj_aging","log2FoldChange_intervention","padj_intervention","Symbol","LFC_Sum","rescue_significant"
"ENSMUSG00000001525",0.548415567878371,0.00131311259775023,-0.0924292063924676,0.457659368617298,"Tubb5",0.455986361485904,"No"
"ENSMUSG00000001542",-0.403529831872846,0.006086613670508,0.127200013083015,0.275520788692,"Ell2",-0.276329818789831,"No"
"ENSMUSG00000001555",0.967867657017821,0.00189643329601732,-0.000171662807071389,0.999058388190625,"Fkbp10",0.967695994210749,"No"
"ENSMUSG00000001576",-0.735817614916571,2.07521035278434e-14,0.015809197705305,0.92573029274071,"Ergic1",-0.720008417211266,"No"
"ENSMUSG00000001583",0.751437227371998,8.96239725753562e-05,-0.066513575799432,0.618779245760009,"Tnk1",0.684923651572566,"No"
"ENSMUSG00000001604",-1.10978528735873,2.1160162516564e-13,0.0402282144649885,0.788953278301399,"Tcea3",-1.06955707289374,"No"
"ENSMUSG00000001630",-0.442739356818933,0.000997136178169749,0.0306836650437494,0.843563702444151,"Stk38l",-0.412055691775183,"No"
"ENSMUSG00000001666",-0.784537099342089,2.47172551487212e-10,0.103204074531703,0.35791532392439,"Ddt",-0.681333024810386,"No"
"ENSMUSG00000001672",0.546607596675311,0.0054590220154245,-0.00389045196448473,0.984662394157977,"Marveld3",0.542717144710827,"No"
"ENSMUSG00000001729",0.303263757369824,0.00447664685863496,-0.032898299905898,0.822964191403471,"Akt1",0.270365457463926,"No"
"ENSMUSG00000001739",0.636292110405509,0.000145261442320576,-0.0740096851868564,0.565183262207406,"Cldn15",0.562282425218652,"No"
"ENSMUSG00000001750",0.455373748316355,0.00301695369337734,-0.0493265398659016,0.725696262996048,"Tcirg1",0.406047208450454,"No"
"ENSMUSG00000001794",0.240531029390973,0.0186488416007349,-0.120530600580747,0.220977485785917,"Capns1",0.120000428810225,"No"
"ENSMUSG00000001802",-0.775075106405835,5.7186885586372e-07,0.0956270817844607,0.433411606469123,"Lrp3",-0.679448024621375,"No"
"ENSMUSG00000001827",-1.32027615444662,4.65620890416671e-21,0.0815886358649736,0.504797701382175,"Folr1",-1.23868751858164,"No"
"ENSMUSG00000001833",0.255668619427042,0.0111330412755006,-0.0401386437041757,0.764437648913549,"Septin7",0.215529975722866,"No"
"ENSMUSG00000001855",0.449029946801095,0.014348172826696,-0.0294451347274118,0.853626328936438,"Nup214",0.419584812073684,"No"
