"Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"ENSMUSG00000022442","Ttll1",0.850275373002445,-0.408052899124792,-0.723528251160031,0.000723228296821819,0.850934031648063,0,0.47990675971703,"Rescue","Worsening","Rescue"
"ENSMUSG00000022533","Atp13a3",1.43992159646248,-1.30176272750711,-1.32982577662815,0.00227169789697895,0.923540406571575,0,0.904051116883867,"Rescue","Worsening","Rescue"
"ENSMUSG00000022892","App",0.395366484563376,-0.963319145991505,-0.897979830689703,0.000490879257748614,2.27125936504555,0,2.43652202096834,"Rescue","Worsening","Rescue"
"ENSMUSG00000023367","Tmem176a",0.502441324953352,-0.229146103011684,-0.210407351760762,0.0195045582741477,0.41876999623846,0,0.456065398348671,"Rescue","Worsening","Rescue"
"ENSMUSG00000023942","Slc29a1",0.404949379317743,-0.183330495785631,-0.231395113694625,0.000423640843339488,0.571417380820483,0,0.452724476561751,"Rescue","Worsening","Rescue"
"ENSMUSG00000024063","Lbh",1.15247014964076,-1.29563652266118,-1.44323505068779,0.00249802430971233,1.2522971212206,0,1.12422566698586,"Rescue","Worsening","Rescue"
"ENSMUSG00000024533","Spire1",0.417077088206687,-0.179412916951823,-0.345068545724867,9.79624165836791e-05,0.827349560745625,0,0.43016728088145,"Rescue","Worsening","Rescue"
"ENSMUSG00000024725","Ostf1",0.296695285422343,-0.798406220032386,-0.584800610360255,8.3690497718677e-05,1.97104786996462,0,2.69099732709221,"Rescue","Worsening","Rescue"
"ENSMUSG00000024811","Tnks2",-0.325065586818983,0.189721322101697,0.174631658913422,-5.68933216302695e-05,0.537219767316273,0,0.583640132313807,"Rescue","Worsening","Rescue"
"ENSMUSG00000024896","Minpp1",0.420460163408651,-0.286171890146207,-0.222146619279664,6.19709265405323e-05,0.528341656623856,0,0.680615941891439,"Rescue","Worsening","Rescue"
"ENSMUSG00000025151","Maged1",0.982085395268021,-1.05530541123664,-0.650470850954459,0.000464746833623747,0.662336344770649,0,1.07455565098658,"Rescue","Worsening","Rescue"
"ENSMUSG00000025234","Arih1",-0.28026320105963,0.201939680606444,0.235204286994149,-0.000283580304742585,0.839226434668839,0,0.720535838607934,"Rescue","Worsening","Rescue"
"ENSMUSG00000025366","Esyt1",0.285602816362803,-0.150048001372917,-0.309546118752862,0.000728234568741244,1.08383426569451,0,0.525372975252144,"Rescue","Worsening","Rescue"
"ENSMUSG00000025401","Myo1a",1.63746432374767,-0.694383481805862,-2.1576099607233,0.000340724942981456,1.31765311123553,0,0.424060220265822,"Rescue","Worsening","Rescue"
"ENSMUSG00000025492","Ifitm3",0.98810851462168,-1.27712241826316,-1.02778627492607,0.000417262840910954,1.04015526606364,0,1.2924920688009,"Rescue","Worsening","Rescue"
"ENSMUSG00000025630","Hprt1",0.304292360815315,-0.226980440181699,-0.226114613881026,0.00095031907766724,0.743083438819099,0,0.745928815214199,"Rescue","Worsening","Rescue"
"ENSMUSG00000025743","Sdc3",0.312935167467889,-0.583215771754383,-0.329875566476958,3.03709540767605e-05,1.05413389343915,0,1.86369520713656,"Rescue","Worsening","Rescue"
"ENSMUSG00000025793","Hgs",0.392003506685808,-0.287129440810357,-0.326137622964358,0.000471724098403692,0.831976289502326,0,0.732466510919486,"Rescue","Worsening","Rescue"
"ENSMUSG00000026353","Ubxn4",0.325225732022427,-0.222902371584045,-0.171152385652491,0.000639838264459615,0.526257207841993,0,0.685377415243005,"Rescue","Worsening","Rescue"
"ENSMUSG00000026355","Mcm6",0.662332036627155,-0.276446338080435,-0.223935377849643,0.000275431730888511,0.338101383393753,0,0.417383310474011,"Rescue","Worsening","Rescue"
"ENSMUSG00000026554","Dcaf8",-0.234014150536959,0.0951681712718418,0.126648792704182,-4.06476055503874e-05,0.54120142911691,0,0.406676993906023,"Rescue","Worsening","Rescue"
"ENSMUSG00000026600","Soat1",0.59422038567188,-0.139553065429504,-0.201287253350457,0.375485881760871,0.338741750037511,0,0.234850686369019,"Rescue","Worsening","Rescue"
"ENSMUSG00000026604","Ptpn14",0.497278756551661,-0.365738425250885,-0.469459939206723,0.000124695270439562,0.944057901170271,0,0.735479689072319,"Rescue","Worsening","Rescue"
"ENSMUSG00000026748","Plxdc2",0.355525436770957,-0.666893268365591,-0.772848350771742,0.00149496024618004,2.17382012885239,0,1.87579621425296,"Rescue","Worsening","Rescue"
"ENSMUSG00000027177","Hipk3",-0.385506620962357,0.326705420734206,0.475156996472569,-0.000303791300711637,1.23255210322047,0,0.847470323385463,"Rescue","Worsening","Rescue"
"ENSMUSG00000027215","Cd82",1.09130956638073,-0.591709372177591,-0.933292801362424,0.000283715417763415,0.855204453542581,0,0.542201214399653,"Rescue","Worsening","Rescue"
"ENSMUSG00000027254","Map1a",0.40375811343081,-0.926060002739125,-0.615987573396661,0.00167471569244428,1.52563515854207,0,2.29360097527258,"Rescue","Worsening","Rescue"
"ENSMUSG00000027304","Rtf1",-0.257089698891779,0.185696832259118,0.154489544049204,-0.00101663877470806,0.60091689676853,0,0.722303667006459,"Rescue","Worsening","Rescue"
"ENSMUSG00000027368","Dusp2",1.87287874375409,-0.653712469716535,-0.27929374119691,0.00135389226759098,0.149125372973735,0,0.349041534000328,"Rescue","Worsening","Rescue"
"ENSMUSG00000027416","Otor",1.11559102678901,-0.215317144563474,-0.329820458171566,0.00133408134763668,0.295646388552339,0,0.193007239564501,"Rescue","Worsening","Rescue"
"ENSMUSG00000027663","Zmat3",0.366888482893569,-0.345530095043461,-0.428753773961147,0.000233182513881105,1.16862151294491,0,0.941785068635409,"Rescue","Worsening","Rescue"
"ENSMUSG00000027715","Ccna2",0.908050926919771,-0.471755734185961,-0.455623789732963,0.000951468203930251,0.501760172503209,0,0.519525634741896,"Rescue","Worsening","Rescue"
"ENSMUSG00000027763","Mbnl1",-0.545432672459167,0.188854267207556,0.337119633164895,-0.00029410841945248,0.618077446011695,0,0.346246707877029,"Rescue","Worsening","Rescue"
"ENSMUSG00000027864","Ptgfrn",1.06605187732934,-1.59397911540637,-1.70459342079762,0.000627744978481394,1.5989779269166,0,1.49521721156722,"Rescue","Worsening","Rescue"
"ENSMUSG00000027935","Rab13",0.511043621915994,-0.479611652163285,-0.872060964044876,0.0398108782913787,1.7064315581816,0,0.938494546444264,"Rescue","Worsening","Rescue"
"ENSMUSG00000028033","Kcnq5",0.652067321378555,-1.15170506834781,-1.2676991392746,0.00037636626385576,1.94412309544131,0,1.76623644612791,"Rescue","Worsening","Rescue"
"ENSMUSG00000028059","Arhgef2",1.06993640429034,-0.514268289032043,-0.305344020719218,0.149043297147565,0.285385205601771,0,0.480653136924659,"Rescue","Worsening","Rescue"
"ENSMUSG00000028063","Lmna",0.671854648485309,-0.380268522666523,-0.317870256730876,0.000281529877324392,0.473123550529139,0,0.565998201432163,"Rescue","Worsening","Rescue"
"ENSMUSG00000028082","Sh3d19",1.2277100130705,-0.912227745622903,-1.50873576278529,0.0030756874066504,1.22890238470235,0,0.743031934179169,"Rescue","Worsening","Rescue"
"ENSMUSG00000028107","Tars2",0.406656337386226,-0.230366589832986,-0.0407871665017795,0.000136088949748126,0.100298858647914,0,0.566489609663192,"Rescue","Worsening","Rescue"
"ENSMUSG00000028266","Lmo4",-0.384440961637574,0.357231414762416,0.364209993602101,-0.000217975727208522,0.947375617964076,0,0.929223080809974,"Rescue","Worsening","Rescue"
"ENSMUSG00000028396","2310002L09Rik",-0.235874159043139,0.215903433957128,0.39644734143246,-0.00190817075358476,1.68075783731762,0,0.915333137097233,"Rescue","Worsening","Rescue"
