"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000001247",737.48322430563,-0.0996117103396857,0.0870118573438647,0.110026574067802,0.412938003266767
"ENSMUSG00000001248",646.286213756959,-0.243831819759613,0.122321744307746,0.00240444210158019,0.0398977881976601
"ENSMUSG00000001249",4557.35872335085,0.0642316949809212,0.0845762351358681,0.290174282387779,0.646156436899722
"ENSMUSG00000001260",4.79088390884314,0.00143731528896437,0.183076867789143,0.974768260082908,NA
"ENSMUSG00000001270",2357.79372590302,-0.149671952236656,0.139051647135763,0.0501448352405415,0.270791971623455
"ENSMUSG00000001280",1403.18046771707,0.107032608235497,0.0978643427872247,0.102453997679863,0.399628803450146
"ENSMUSG00000001281",32.218034140864,-0.0997573387236643,0.221661120087352,0.11995790787634,0.42975135685379
"ENSMUSG00000001285",333.07624114771,-0.0163341093994025,0.0989022683315079,0.791322778887468,0.930210766620286
"ENSMUSG00000001288",355.744629544671,0.0792211300163499,0.104236624397753,0.224518167337282,0.582545090558908
"ENSMUSG00000001289",1561.26271443574,-0.0409151677203443,0.0668443550853803,0.449549497382816,0.764294450405457
"ENSMUSG00000001300",394.01987818042,-0.0264647324004761,0.114338859104933,0.670110047743583,0.882796969423542
"ENSMUSG00000001305",127.840363886296,0.00652018099267781,0.114244161141565,0.915429677165915,0.970640007399471
"ENSMUSG00000001313",164.547689895624,0.123974937817765,0.12020450965717,0.0809270900154542,0.35210905787578
"ENSMUSG00000001323",1562.16914118079,0.0474738405958552,0.0895863173302952,0.439759652717706,0.75742003326123
"ENSMUSG00000001333",18.9660061067767,-0.140526253739992,0.249472437380151,0.0586188413813924,0.29674786183888
"ENSMUSG00000001334",49.5917855181108,-0.0820686876746794,0.161994289667013,0.21857719372172,0.575716765717531
"ENSMUSG00000001348",830.408921021653,0.0567774950098193,0.0752233696510052,0.324724627533635,0.676102073629632
"ENSMUSG00000001349",17.3771512956443,0.0110830088009681,0.178483132611909,0.816995774866113,0.939327569796252
